solute,SMILES1,solvent,SMILES2,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea
acetonitrile,CC#N,acetonitrile,CC#N,-4.85,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,38.186,30.572,25.764,19.707,0.0,27.654,0.0,0.0,10.972,5.967,0.0,17.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,96.412
nitromethane,C[N+](=O)[O-],acetonitrile,CC#N,-5.62,abs,35.6881,1.3442,0.07,0.32,41.25,0.0,0.0,0.1024,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242
n-octane,CCCCCCCC,acetophenone,CC(=O)C1=CC=CC=C1,-4.24,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
toluene,CC1=CC=CC=C1,acetophenone,CC(=O)C1=CC=CC=C1,-4.9,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
ethanol,CCO,acetophenone,CC(=O)C1=CC=CC=C1,-4.12,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
"1,4-dioxane",C1COCCO1,acetophenone,CC(=O)C1=CC=CC=C1,-5.03,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
2-butanone,CCC(=O)C,acetophenone,CC(=O)C1=CC=CC=C1,-4.39,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
acetophenone,CC(=O)C1=CC=CC=C1,acetophenone,CC(=O)C1=CC=CC=C1,-7.59,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,92.659,73.893,62.626,95.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.358,0.0,0.0,14.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,188.909
aceticacid,CC(=O)O,acetophenone,CC(=O)C1=CC=CC=C1,-6.2,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87
nitromethane,C[N+](=O)[O-],acetophenone,CC(=O)C1=CC=CC=C1,-4.92,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242
hydrogenperoxide,OO,acetophenone,CC(=O)C1=CC=CC=C1,-7.3,abs,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0,0.2304,27.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.198,19.784,0.0,0.0,0.0,0.0,28.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,71.944
n-octane,CCCCCCCC,aniline,C1=CC=C(C=C1)N,-3.48,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
toluene,CC1=CC=CC=C1,aniline,C1=CC=C(C=C1)N,-4.57,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
ethanol,CCO,aniline,C1=CC=C(C=C1)N,-4.45,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
"1,4-dioxane",C1COCCO1,aniline,C1=CC=C(C=C1)N,-5.65,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
2-butanone,CCC(=O)C,aniline,C1=CC=C(C=C1)N,-4.87,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
aceticacid,CC(=O)O,aniline,C1=CC=C(C=C1)N,-6.3,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,50.326,18.311,25.273,11.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.233,9.17,0.0,21.68,8.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,111.87
propanoicacid,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,aniline,C1=CC=C(C=C1)N,-6.2,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,74.142,20.699,41.287,15.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.789,9.179,0.0,20.114,7.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,135.63
aniline,C1=CC=C(C=C1)N,aniline,C1=CC=C(C=C1)N,-7.61,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,88.183,59.941,42.242,80.39,0.0,10.955,18.043,0.0,2.956,13.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,159.079
nitromethane,C[N+](=O)[O-],aniline,C1=CC=C(C=C1)N,-5.11,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242
hydrogenperoxide,OO,aniline,C1=CC=C(C=C1)N,-7.8,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0.0,0.1681,27.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.198,19.784,0.0,0.0,0.0,0.0,28.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,71.944
n-octane,CCCCCCCC,anisole,COC1=CC=CC=C1,-4.62,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
toluene,CC1=CC=CC=C1,anisole,COC1=CC=CC=C1,-4.95,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
ethanol,CCO,anisole,COC1=CC=CC=C1,-3.59,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
"1,4-dioxane",C1COCCO1,anisole,COC1=CC=CC=C1,-5.06,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
anisole,COC1=CC=CC=C1,anisole,COC1=CC=CC=C1,-6.33,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,95.456,68.582,64.505,79.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.457,0.0,0.0,3.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,176.496
2-butanone,CCC(=O)C,anisole,COC1=CC=CC=C1,-4.43,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
butylamine,CCCCN,anisole,COC1=CC=CC=C1,-4.44,abs,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0,0.0841,132.847,19.503,71.584,15.978,0.0,11.893,18.504,0.0,1.624,38.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,164.243
