Tag,Chromophore,Solvent,Absorption max (nm)
102,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,56.0
103,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,62.0
104,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,23.0
105,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,30.0
106,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,12.0
107,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,10.0
108,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,11.0
109,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,8.0
110,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,9.0
111,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,2.0
112,CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,1.26
113,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,2.74
114,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,1.06
115,N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,20.6
116,CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,4.9
117,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,2.4
119,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,2.6
121,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,2.4
122,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,2.5
124,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,3.29
125,ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,2.02
126,ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,3.02
127,c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,1.23
128,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,1.23
129,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,2.5
130,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,3.87
131,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,3.36
132,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,0.35
133,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,0.34
134,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,0.46
135,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,0.47
136,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,7.5
137,C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,1.0
138,O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,5.5
139,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,1.5
140,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,2.5
141,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,1.5
142,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,15.18
143,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,3.56
144,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,5.52
145,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,1.66
162,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,1.57
163,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,1.89
164,O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,ClC(Cl)Cl,8.86
165,O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,ClC(Cl)Cl,8.65
166,O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,ClCCl,7.02
167,O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,ClCCl,8.38
168,O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,C1CCOC1,7.02
169,O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,C1CCOC1,8.38
170,Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])c(OCCOc2cc3cc(-c4ncc(C(=O)[O-])o4)oc3cc2N(CC(=O)[O-])CC(=O)[O-])c1,O,1.09
171,Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])cc1OCCOc1cc(-c2cc3ccc(C(=O)[O-])cc3[nH]2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,1.4
172,CC(=O)OCOC(=O)CN(CC(=O)OCOC(C)=O)c1ccccc1OCCOc1cc(NC(=O)c2ccc3c(c2)C(=O)OC32c3cc(Cl)c(OC(C)=O)cc3Oc3cc(OC(C)=O)c(Cl)cc32)ccc1N(CC(=O)OCOC(C)=O)CC(=O)OCOC(C)=O,O,0.92
173,COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2nc(COc3cc(C)ccc3N(CC(=O)[O-])CC(=O)[O-])ccc2c1,O,1.35
174,COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2ncccc2c1,O,0.84
175,O=C([O-])COc1cc(NC(=O)c2ccc(-c3c4cc(Cl)c(=O)cc-4oc4cc(O)c(Cl)cc34)c(C(=O)[O-])c2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,1.21
176,COc1cc2cc(-c3ccc(C(=O)OCOC(C)=O)cc3C(=O)OCOC(C)=O)oc2cc1N1CCOCCOCCN(c2cc3oc(-c4ccc(C(=O)OCOC(C)=O)cc4C(=O)OCOC(C)=O)cc3cc2OC)CCOCCOCC1,O,0.52
177,COc1cc(N2CCOCCOCCN(c3cc(OC)c(NC(=O)c4ccc(-c5c6cc(Cl)c(=O)cc-6oc6cc([O-])c(Cl)cc56)c(C(=O)[O-])c4)cc3OC)CCOCC2)c(OC)cc1NC(=O)c1ccc(-c2c3cc(Cl)c(=O)cc-3oc3cc([O-])c(Cl)cc23)c(C(=O)[O-])c1,O,1.13
178,CCN1CCCc2cc3c(cc21)Oc1cc2c(cc1=N3)C(CS(=O)(=O)[O-])CC(C)(C)[N+]=2CCCC(=O)[O-],O,3.6
179,CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,O,2.0
180,Nc1ccc2c(-c3ccc(C(=O)CN4C(=O)CCC4=O)cc3C(=O)[O-])c3ccc(=[NH2+])c(S(=O)(=O)[O-])c-3oc2c1S(=O)(=O)[O-],O,4.1
181,CC1(CCCCC(=O)NCCCCCCO)C(/C=C/C=C/C=C2/N(CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,O,1.0
182,CC1=CC(C)=[N+]2C1=Cc1ccc(CCC(=O)ON3C(=O)CCC3=O)n1[B-]2(F)F,CO,5.7
183,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CCO,2.5
184,CC1(C)C2=C3C=C4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCCCO)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,O,2.8
185,CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,0.3
186,O=C([O-])c1cc(N2C(=O)C=CC2=O)ccc1-c1c2cc(F)c(=O)cc-2oc2cc([O-])c(F)cc12,O,4.1
187,CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,O,0.52
188,NC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)C[C@@H]3O)O2)C=CC1,O,0.4
189,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,O,3.0
190,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,CCO,1.05
191,c1ccc2[nH]ccc2c1,O,4.49
192,Nc1ncc2nc[nH]c2n1,O,11.34
193,N[C@@H](Cc1ccc(O)cc1)C(=O)O,O,3.27
194,Nc1ccccc1C(=O)O,O,8.6
195,c1ccc2cc3ccccc3cc2c1,CO,5.1
196,c1ccc2cc3ccccc3cc2c1,C1CCCCC1,5.3
197,N#Cc1c2ccccc2cc2ccccc12,CO,16.0
198,N#Cc1c2ccccc2cc2ccccc12,C1CCCCC1,12.7
199,c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,CO,8.7
200,c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,C1CCCCC1,7.5
201,Cn1c2ccccc2c2ccccc21,C1CCCCC1,14.1
202,O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,O,0.09
203,O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,CO,0.47
204,c1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c23)cc1,CO,9.9
205,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,CO,1.17
206,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,C1CCCCC1,0.98
207,O=S(=O)([O-])CCC[n+]1c2ccccc2cc2ccccc21,O,31.2
208,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,1.74
209,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,2.5
210,O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,O,5.4
211,NNC(=O)N1C(=O)c2cc(S(=O)(=O)[O-])cc3c(N)c(S(=O)(=O)[O-])cc(c23)C1=O,O,5.7
212,O=S(=O)([O-])c1cc(S(=O)(=O)Cl)ccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,O,4.2
216,N#Cc1cccc2[nH]ccc12,O,9.1
217,N#Cc1ccc2[nH]ccc2c1,O,0.3
218,N#Cc1ccc2cc[nH]c2c1,O,0.6
219,N#Cc1cccc2cc[nH]c12,O,2.0
220,N#Cc1cc2ccccc2[nH]1,C1CCOC1,2.9
221,N#Cc1c[nH]c2ccccc12,C1CCOC1,3.1
222,N#Cc1cccc2[nH]ccc12,C1CCOC1,5.3
223,N#Cc1ccc2[nH]ccc2c1,C1CCOC1,4.4
224,N#Cc1ccc2cc[nH]c2c1,C1CCOC1,3.7
225,N#Cc1cccc2cc[nH]c12,C1CCOC1,6.9
226,N#Cc1cc2ccccc2[nH]1,C1COCCO1,2.9
227,N#Cc1c[nH]c2ccccc12,C1COCCO1,3.0
228,N#Cc1cccc2[nH]ccc12,C1COCCO1,5.3
229,N#Cc1ccc2[nH]ccc2c1,C1COCCO1,4.2
230,N#Cc1ccc2cc[nH]c2c1,C1COCCO1,3.9
231,N#Cc1cccc2cc[nH]c12,C1COCCO1,7.5
232,N#Cc1cc2ccccc2[nH]1,CC#N,0.9
233,N#Cc1c[nH]c2ccccc12,CC#N,1.8
234,N#Cc1cccc2[nH]ccc12,CC#N,5.4
235,N#Cc1ccc2[nH]ccc2c1,CC#N,4.4
236,N#Cc1ccc2cc[nH]c2c1,CC#N,3.8
237,N#Cc1cccc2cc[nH]c12,CC#N,8.0
240,N#Cc1cccc2[nH]ccc12,CC(C)O,5.7
241,N#Cc1ccc2[nH]ccc2c1,CC(C)O,4.6
242,N#Cc1ccc2cc[nH]c2c1,CC(C)O,3.7
243,N#Cc1cccc2cc[nH]c12,CC(C)O,9.0
246,N#Cc1cccc2[nH]ccc12,CCO,5.7
247,N#Cc1ccc2[nH]ccc2c1,CCO,4.3
248,N#Cc1ccc2cc[nH]c2c1,CCO,3.7
249,N#Cc1cccc2cc[nH]c12,CCO,8.7
252,N#Cc1cccc2[nH]ccc12,CO,5.8
253,N#Cc1ccc2[nH]ccc2c1,CO,2.9
254,N#Cc1ccc2cc[nH]c2c1,CO,3.5
255,N#Cc1cccc2cc[nH]c12,CO,8.2
256,N#Cc1cccc2[nH]ccc12,NC=O,7.8
257,N#Cc1ccc2[nH]ccc2c1,NC=O,5.4
258,N#Cc1ccc2cc[nH]c2c1,NC=O,4.2
259,N#Cc1cccc2cc[nH]c12,NC=O,15.7
262,N#Cc1cccc2[nH]ccc12,OCC(F)(F)F,6.3
263,N#Cc1ccc2[nH]ccc2c1,OCC(F)(F)F,0.1
264,N#Cc1ccc2cc[nH]c2c1,OCC(F)(F)F,0.8
265,N#Cc1cccc2cc[nH]c12,OCC(F)(F)F,1.2
266,N#Cc1ccc2cc[nH]c2c1,[2H]OC([2H])([2H])C(F)(F)F,1.1
267,N#Cc1cc2ccccc2[nH]1,CS(C)=O,0.4
268,N#Cc1c[nH]c2ccccc12,CS(C)=O,0.2
